,retiro,entrega,tamano,opcion_de_entrega,cantidad_de_paquetes,cantidad_de_asistentes,lat_retiro,lng_retiro,lat_entrega,lng_entrega,km,precio
27,"Eulogio Caballero, Montevideo Uruguay","Doctor Prudencio de Pena, Montevideo Uruguay",small,express,2,1,-34.8535167,-56.2452851,-34.8989865,-56.1578912,9.449117732054006,1528
28,"Eulogio Caballero, Montevideo Uruguay","Rambla República de México, Montevideo Uruguay",small,express,2,1,-34.8535167,-56.2452851,-34.8941222,-56.0595102,17.57224904730428,1692
29,"Eulogio Caballero, Montevideo Uruguay","Ricaldoni, Montevideo Uruguay",small,express,2,1,-34.8535167,-56.2452851,-34.8938637,-56.1591115,9.061385402128874,1582
30,"Eulogio Caballero, Montevideo Uruguay","Doctor Alberto Zubiría, Montevideo Uruguay",small,express,2,1,-34.8535167,-56.2452851,-34.8434359,-56.1924935,4.955944664326704,1253
31,"Eulogio Caballero, Montevideo Uruguay","Adolfo berro, Montevideo Uruguay",small,express,2,1,-34.8535167,-56.2452851,-34.8642481,-56.2077112,3.6363386664519917,1143
32,"Eulogio Caballero, Montevideo Uruguay","Los Nogales, Montevideo Uruguay",small,express,2,1,-34.8535167,-56.2452851,-34.8029901,-56.1143293,13.226149404785405,1143
33,"Eulogio Caballero, Montevideo Uruguay","Paysandú, Montevideo, Uruguay",small,express,2,1,-34.8535167,-56.2452851,-34.901975,-56.1895067,7.409771137285997,1363
34,"Eulogio Caballero, Montevideo Uruguay","Himalaya, Montevideo, Uruguay",small,express,2,1,-34.8535167,-56.2452851,-34.8681349,-56.1491542,8.938786415696981,1528
35,"Eulogio Caballero, Montevideo Uruguay","Carlos Tellier, Montevideo, Uruguay",small,express,2,1,-34.8535167,-56.2452851,-34.8535167,-56.2452851,0.0,924
36,"Eulogio Caballero, Montevideo Uruguay","Cooper, Montevideo, Uruguay",small,express,2,1,-34.8535167,-56.2452851,-34.8700236,-56.0694155,16.18569083520953,1967
37,"Eulogio Caballero, Montevideo Uruguay","Oyarvide, Montevideo, Uruguay",small,express,2,1,-34.8535167,-56.2452851,-34.8542084,-56.1264252,10.870028602343755,1692
